imageUrl;title;description;wikipediaLink
http://commons.wikimedia.org/wiki/Special:FilePath/1930%20Ir.%20Ringen%2C%20ir.%20dr.%20Joosting%20en%20prof.%20dr.%20lterson%20bij%20rectoraatsoverdracht%20aan%20Technische%20Hoogeschool%20te%20Delft.jpg;Gerrit van Iterson;Dutch botanist (1878-1972);https://nl.wikipedia.org/wiki/Gerrit_van_Iterson
http://commons.wikimedia.org/wiki/Special:FilePath/1939%20Nieuwe%20Utrechtsche%20courant%20-%20Gedecoreerden%20uit%20Chr.%20Kring.jpg;Johan Herman Bavinck;Dutch theologian and missionary (1895-1964);https://nl.wikipedia.org/wiki/Johan_Herman_Bavinck
http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Lambrechts-Vos%20-%20Onze%20Musici%20%281923%29.jpg;Anna Lambrechts-Vos;Dutch composer (1876-1932);https://nl.wikipedia.org/wiki/Anna_Lambrechts-Vos
http://commons.wikimedia.org/wiki/Special:FilePath/Bart%20Verhallen%20-%20Onze%20Musici%20%281923%29.jpg;Bartholomeus Adrianus Verhallen;Dutch conductor and composer (1870–1940);https://nl.wikipedia.org/wiki/Bart_Verhallen
http://commons.wikimedia.org/wiki/Special:FilePath/Annemie%20Wolff%2C%20foto%20uit%20H.E.W.%20Wolff%2C%20Kleuren.%20De%20ontwikkeling%20en%20toepassing%20der%20kleurenfotografie.jpg;Annemie Wolff;German-Dutch photographer;https://nl.wikipedia.org/wiki/Annemie_Wolff
http://commons.wikimedia.org/wiki/Special:FilePath/Antoon%20van%20Welie%20in%20z%27n%20Haagsche%20atelier%2C%201928.jpg;Antoon van Welie;Dutch painter (1866-1956);https://nl.wikipedia.org/wiki/Antoon_van_Welie
http://commons.wikimedia.org/wiki/Special:FilePath/1925%20Adri%C3%ABnne%20Solser%20en%20Andr%C3%A9%20Boesnach%20terug%20uit%20Afrika.jpg;Adriënne Solser;Dutch actress, film director and producer;https://nl.wikipedia.org/wiki/Adri%C3%ABnne_Solser
http://commons.wikimedia.org/wiki/Special:FilePath/A.Th.%20van%20Elmpt%2C%201925.jpg;A.Th. van Elmpt;Dutch architect (1866–1953);https://nl.wikipedia.org/wiki/A.Th._van_Elmpt
http://commons.wikimedia.org/wiki/Special:FilePath/1940%20Kunstenares%20Giselle%20Kuster%20in%20eigen%20atelier%20in%20Venlo.jpg;Giselle Kuster;Dutch painter and drawer;https://nl.wikipedia.org/wiki/Giselle_Kuster
http://commons.wikimedia.org/wiki/Special:FilePath/Artikel%20Dr.%20C.A.%20van%20Peursen%20hoogleraar%20te%20Groningen%2C%201953.jpg;Kees van Peursen;Dutch philosopher and theologian (1920–1996);https://nl.wikipedia.org/wiki/Kees_van_Peursen
